,genre,track_count,index,track_popularity,danceability,energy,instrumentalness,liveness,speechiness,loudness,tempo,valence
azonto,azonto,2,azonto,79.5,0.7695000000000001,0.751,0.0013165,0.281,0.06,-4.6955,105.979,0.5609999999999999
new_french_touch,new french touch,1,new_french_touch,69.0,0.783,0.467,0.809,0.109,0.0503,-9.474,90.838,0.236
afropop,afropop,1,afropop,89.0,0.792,0.625,0.0018,0.329,0.0536,-5.609,103.967,0.37
nigerian_hip_hop,nigerian hip hop,2,nigerian_hip_hop,84.0,0.802,0.5605,0.0009,0.21225,0.17529999999999998,-5.789,106.973,0.46
nigerian_pop,nigerian pop,3,nigerian_pop,82.66666666666667,0.801,0.641,0.0010266666666666668,0.1985,0.12923333333333334,-5.591333333333334,106.98466666666667,0.5770000000000001
etherpop,etherpop,7,etherpop,79.0,0.6511428571428571,0.6809999999999999,1.3014285714285713e-06,0.17412857142857144,0.10185714285714287,-5.897571428571429,104.94128571428573,0.47285714285714286
alt_z,alt z,17,alt_z,74.76470588235294,0.6560588235294118,0.5594411764705882,0.0006735564705882352,0.16549411764705882,0.08571764705882352,-7.353588235294118,107.91129411764707,0.40294117647058825
bboy,bboy,1,bboy,80.0,0.792,0.717,3.59e-05,0.226,0.0393,-4.759,121.985,0.466
instrumental_funk,instrumental funk,1,instrumental_funk,80.0,0.792,0.717,3.59e-05,0.226,0.0393,-4.759,121.985,0.466
dfw_rap,dfw rap,15,dfw_rap,82.26666666666667,0.6918000000000001,0.6243333333333333,0.00033037266666666664,0.11444000000000001,0.06483333333333333,-5.117066666666667,127.67219999999999,0.4562666666666667
trap_soul,trap soul,5,trap_soul,77.4,0.6722,0.6946,7.880000000000001e-07,0.23328,0.14484000000000002,-5.4652,131.66500000000002,0.5728
indie_pop_rap,indie pop rap,7,indie_pop_rap,75.85714285714286,0.6071428571428571,0.656,3.985714285714286e-07,0.23088571428571428,0.12558571428571427,-5.915142857142857,108.00814285714286,0.38085714285714284
canadian_trap,canadian trap,5,canadian_trap,70.4,0.7121999999999999,0.5868,1.2999999999999998e-06,0.10591999999999999,0.16865999999999998,-7.396800000000001,138.30239999999998,0.4084
pop_nacional,pop nacional,2,pop_nacional,68.0,0.735,0.551,0.001445,0.13605,0.03705,-7.16,131.029,0.6145
brazilian_edm,brazilian edm,1,brazilian_edm,78.0,0.778,0.463,0.00289,0.0731,0.0389,-7.603,121.999,0.496
gauze_pop,gauze pop,2,gauze_pop,83.5,0.6719999999999999,0.61,3.35e-06,0.07239999999999999,0.06835,-6.118,92.87450000000001,0.3775
british_singer-songwriter,british singer-songwriter,1,british_singer-songwriter,74.0,0.681,0.453,0.0,0.0543,0.0278,-6.09,125.772,0.348
nyc_pop,nyc pop,2,nyc_pop,72.0,0.7204999999999999,0.587,0.03270235,0.10825,0.0879,-6.547499999999999,85.457,0.47200000000000003
indie_pop,indie pop,4,indie_pop,79.25,0.68475,0.4295,0.045691175,0.28025,0.080175,-9.821,112.47475000000001,0.258
swedish_tropical_house,swedish tropical house,1,swedish_tropical_house,72.0,0.632,0.575,1.81e-06,0.104,0.029,-6.478,90.037,0.188
norwegian_pop,norwegian pop,1,norwegian_pop,71.0,0.672,0.625,0.0,0.0934,0.0468,-5.068,120.038,0.423
atl_trap,atl trap,5,atl_trap,78.4,0.7678,0.5092000000000001,7.12e-06,0.1234,0.2156,-6.6378,111.99380000000001,0.3358
emo_rap,emo rap,8,emo_rap,78.125,0.724125,0.5373749999999999,0.00097051625,0.251675,0.17352499999999998,-7.193625000000001,109.629625,0.46499999999999997
rage_rap,rage rap,3,rage_rap,80.33333333333333,0.8163333333333335,0.6659999999999999,0.0,0.19399999999999998,0.25366666666666665,-6.334333333333333,148.38866666666667,0.3373333333333333
plugg,plugg,2,plugg,77.0,0.8335,0.5505,0.0,0.22899999999999998,0.21449999999999997,-6.927,128.986,0.3005
