,track_id,track,track_popularity,data_added,top_year,album_name,album_release_year,genre,artists_name,artists_popularity,track_duration,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artists_popularity_highest,genre_list
1607,6b3b7lILUJqXcp6w9wNQSm,Cheap Thrills (feat. Sean Paul),68.0,2020-06-08T10:16:10Z,2016,Cheap Thrills (feat. Sean Paul),2016-02-11,"australian dance,australian pop,pop,dance pop,dancehall,pop,pop rap","Sia,Sean Paul","27334826,4554951",224813.0,0.592,0.8,-4.931,0.215,0.0561,2.01e-06,0.0775,0.728,89.972,27334826,"['australian dance', 'australian pop', 'pop', 'dance pop', 'dancehall', 'pop', 'pop rap']"
1608,3QGsuHI8jO1Rx4JWLUh9jd,Treat You Better,88.0,2020-06-08T10:16:10Z,2016,Treat You Better,2017-04-20,"canadian pop,pop,viral pop",Shawn Mendes,42846241,187973.0,0.444,0.819,-4.078,0.341,0.106,0.0,0.107,0.747,82.695,42846241,"['canadian pop', 'pop', 'viral pop']"
1609,72TFWvU3wUYdUuxejTTIzt,Work,81.0,2020-06-08T10:16:10Z,2016,Work,2016-01-28,"barbadian pop,pop,urban contemporary,canadian hip hop,canadian pop,hip hop,pop rap,rap","Rihanna,Drake","58811007,82606361",219320.0,0.725,0.534,-6.238,0.0946,0.0752,0.0,0.0919,0.558,91.974,82606361,"['barbadian pop', 'pop', 'urban contemporary', 'canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
1610,0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,86.0,2020-06-08T10:16:10Z,2016,Let Me Love You,2016-08-05,"dance pop,edm,electronic trap,pop,pop dance,canadian pop,pop","DJ Snake,Justin Bieber","8775768,74855447",205946.0,0.649,0.716,-5.371,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,74855447,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'canadian pop', 'pop']"
1611,09CtPGIpYB4BrO8qb1RGsF,Sorry,84.0,2020-06-08T10:16:10Z,2016,Sorry,2015-11-13,"canadian pop,pop",Justin Bieber,74855447,200786.0,0.654,0.76,-3.669,0.045,0.0797,0.0,0.299,0.41,99.945,74855447,"['canadian pop', 'pop']"
1612,1WkMMavIMc4JZ8cfMmxHkI,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",75.0,2020-06-08T10:16:10Z,2016,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",2016-09-23,"dance pop,pop",Justin Timberlake,13512224,237546.0,0.669,0.832,-5.721,0.0682,0.0106,0.0,0.0968,0.7,113.035,13512224,"['dance pop', 'pop']"
1613,5kqIPrATaCc2LqxVWzQGbk,7 Years,86.0,2020-06-08T10:16:10Z,2016,7 Years,2016-04-01,"danish pop,scandipop",Lukas Graham,2156980,237300.0,0.765,0.473,-5.829,0.0514,0.287,0.0,0.391,0.34,119.992,2156980,"['danish pop', 'scandipop']"
1614,6i0V12jOa3mr6uu4WYhUBr,Heathens,86.0,2020-06-08T10:16:10Z,2016,Heathens,2016-06-16,"modern rock,pop,pov: indie,rock",Twenty One Pilots,24150978,195920.0,0.732,0.396,-9.348,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,24150978,"['modern rock', 'pop', 'pov: indie', 'rock']"
1615,7EiZI6JVHllARrX9PUvAdX,Low Life (feat. The Weeknd),85.0,2020-06-08T10:16:10Z,2016,Low Life (feat. The Weeknd),2016-04-13,"atl hip hop,hip hop,rap,southern hip hop,trap,canadian contemporary r&b,canadian pop,pop","Future,The Weeknd","15406796,75134017",313546.0,0.722,0.331,-7.789,0.0726,0.337,0.282,0.146,0.102,143.961,75134017,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap', 'canadian contemporary r&b', 'canadian pop', 'pop']"
1616,3pXF1nA74528Edde4of9CC,Don't,85.0,2020-08-11T07:27:14Z,2016,Don't,2015-10-02,"kentucky hip hop,r&b,rap",Bryson Tiller,7688884,198293.0,0.765,0.356,-5.556,0.195,0.223,0.0,0.0963,0.189,96.991,7688884,"['kentucky hip hop', 'r&b', 'rap']"
1617,3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,85.0,2020-06-08T10:16:10Z,2016,Hymn for the Weekend,2015-12-04,"permanent wave,pop",Coldplay,48429785,258266.0,0.491,0.693,-6.487,0.0377,0.211,6.92e-06,0.325,0.412,90.027,48429785,"['permanent wave', 'pop']"
